responseid,recordeddate,duration,q1_opcao,q1_nota,q2,plataforma,pesquisa,referer,di_device_type,pubaccid,list_id,category_id,intercept_delivery_entregue,intercept_buyer_chat_pag_aprov_ou_rec,intercept_buyer_chat_pag_2dias,dt
R_3kNSxev5DwDqCKn,2021-12-06T18:32:16.919Z,27,É muito bom fechar negócio na OLX,4,"Excelente plataforma , recomendo a todos ",Web,OLX_Buyer_Transaction,https://meus-pedidos-cdn.olx.com.br/,mobile,,indefinido,indefinido,Sim,,,2022-02-13
R_1dMLYreOXypGKXX,2021-12-06T19:12:23.552Z,663,É muito bom fechar negócio na OLX,4,,Web,OLX_Buyer_Transaction,https://meus-pedidos-cdn.olx.com.br/,mobile,,indefinido,indefinido,Sim,,,2022-02-13
R_3n2fw5gqzH0C6cV,2021-12-06T19:18:18.743Z,43,É muito bom fechar negócio na OLX,4,A plataforma necessita de una canal direto de atendimento com os usuários.,Web,OLX_Buyer_Transaction,https://meus-pedidos-cdn.olx.com.br/,mobile,,indefinido,indefinido,Sim,,,2022-02-13
R_3n8chXcVOufhTu4,2021-12-06T19:25:15.920Z,212,"É ruim, tenho dificuldade",2,"Diz o pagamento não foi aprovado se a operadora de cartão, nem recebeu a informação da compra, xomo o pagamento não foi aprovado?.. E depois não há retorno do motivo, outra coisa deixar o código de segurança com vocês para cadastrar é pedirem para serem roubados, é muita burrice!!!!",Web,OLX_Buyer_Transaction,https://meus-pedidos-cdn.olx.com.br/,mobile,,indefinido,indefinido,Sim,,,2022-02-13
R_3Rlr9Tzo5ZdeJZV,2021-12-06T19:26:11.845Z,21,"É ruim, tenho dificuldade",2,,Web,OLX_Buyer_Transaction,https://meus-pedidos.olx.com.br/,mobile,82986be1-140f-47da-8fdd-2f62d8302ce3,indefinido,indefinido,Sim,,,2022-02-13
R_27sqGgpCQwC0s2t,2021-12-06T19:26:27.019Z,8,"É bom, consigo finalizar minhas compras",3,,Web,OLX_Buyer_Transaction,https://meus-pedidos.olx.com.br/,desktop,d38db143-da46-43cd-967d-a7b053b8ac34,indefinido,indefinido,Sim,,,2022-02-13
R_2tGzBjWwq4zMXtO,2021-12-06T19:31:50.999Z,26,É muito bom fechar negócio na OLX,4,"Muito prático e ágil 
",Web,OLX_Buyer_Transaction,https://meus-pedidos-cdn.olx.com.br/,mobile,,indefinido,indefinido,Sim,,,2022-02-13
R_DUjbfGgRhvcqhXj,2021-12-06T19:32:46.007Z,15,"É bom, consigo finalizar minhas compras",3,,Web,OLX_Buyer_Transaction,https://meus-pedidos.olx.com.br/,mobile,1abb37b3-386a-4ea9-b818-6f51195c3111,indefinido,indefinido,Sim,,,2022-02-13
R_2ZHnywCW6QaWwjY,2021-12-06T19:48:06.092Z,36,"É ruim, tenho dificuldade",2,Não estou conseguindo realizar a devolução do produto.,Web,OLX_Buyer_Transaction,https://meus-pedidos.olx.com.br/,desktop,82986be1-140f-47da-8fdd-2f62d8302ce3,indefinido,indefinido,Sim,,,2022-02-13
R_12xvcIeg32RB89f,2021-12-06T19:51:13.158Z,40,"É ruim, tenho dificuldade",2,,Web,OLX_Buyer_Transaction,https://meus-pedidos-cdn.olx.com.br/,mobile,,indefinido,indefinido,Sim,,,2022-02-13
R_1istjzGaRzogsEL,2021-12-07T16:07:59.642Z,40,É muito bom fechar negócio na OLX,4,"Muto bom, simples e pratico.",Web,OLX_Buyer_Transaction,https://meus-pedidos.olx.com.br/,desktop,ab527abe-eb97-4a54-9eee-f9e5e7911c59,indefinido,indefinido,Sim,,,2022-02-13
R_3Eoin4kwNEqdkxe,2021-12-07T16:30:33.208Z,7,É muito bom fechar negócio na OLX,4,,Web,OLX_Buyer_Transaction,https://meus-pedidos.olx.com.br/,desktop,c5e4566e-6693-46f7-98c0-4cda60872149,indefinido,indefinido,Sim,,,2022-02-13
R_1QN6jDwI6OYmCGa,2021-12-07T16:40:43.097Z,207,"É péssima, nunca consigo finalizar minhas compras",1,"Comprei um produto, marquei que recebi o produto, como instruído por vcs, porém não era o produto que eu comprei e sim outro produto e eu não consegui devolver para o vendedor, mesmo eu tendo conversado com ele e ele aceitado a devolução eu não consegui, fui obrigado a ficar com algo diferente do que comprei pq foi impossível a devolução, nem suporte eu consegui de vcs da Olx, uma lástima total e frustração absurda.",Web,OLX_Buyer_Transaction,https://meus-pedidos.olx.com.br/,mobile,1abb37b3-386a-4ea9-b818-6f51195c3111,indefinido,indefinido,Sim,,,2022-02-13
