responseid,recordeddate,duration,q1_opcao,q1_nota,q2,plataforma,pesquisa,referer,di_device_type,pubaccid,list_id,category_id,intercept_user_inserted_ad,intercept_left_page,dt
R_3KO1CPt6hkSuM90,2021-12-01T23:17:51.314Z,9,"É ruim, tenho dificuldade",2,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,d8806d91-bc49-4512-ab4f-d6f1a175881d,indefinido,indefinido,,Sim,2022-02-08
R_Q3n7oU3HBWSux8d,2021-12-02T13:08:47.041Z,13,"É bom, consigo publicar meus anúncios",3,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,acc6a1dd-6a26-45dd-96df-27df6fa7ac2d,indefinido,indefinido,,Sim,2022-02-08
R_3DdSnIpzc4HGEV6,2021-12-02T13:08:57.603Z,21,É muito bom publicar na OLX,4,Melhor site de vendas,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,2171729b-3427-411b-ae42-44fc7f74de3f,indefinido,indefinido,,Sim,2022-02-08
R_A1gORlNwE1WiMIp,2021-12-02T13:09:22.794Z,28,É muito bom publicar na OLX,4,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,16b11908-9b34-421f-883a-f018657003c2,indefinido,indefinido,,Sim,2022-02-08
R_3HYPXiEnVompIYr,2021-12-02T13:09:22.846Z,15,É muito bom publicar na OLX,4,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,mobile,87121641-b788-4fe3-9108-e4f9128b2bb2,indefinido,indefinido,,Sim,2022-02-08
R_2dYLBnJC3ic2lng,2021-12-02T13:09:38.377Z,33,É muito bom publicar na OLX,4,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,16b11908-9b34-421f-883a-f018657003c2,indefinido,indefinido,,Sim,2022-02-08
R_1ducy5uViWYz4Zi,2021-12-02T13:09:48.536Z,60,É muito bom publicar na OLX,4,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,16b11908-9b34-421f-883a-f018657003c2,indefinido,indefinido,,Sim,2022-02-08
R_2e5t1PUD00fueS8,2021-12-02T13:09:52.752Z,26,"É bom, consigo publicar meus anúncios",3,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,mobile,f94e845d-afac-4018-8ab5-853b644d1691,indefinido,indefinido,,Sim,2022-02-08
R_29jrOhzb5O0mQoq,2021-12-02T13:09:54.898Z,15,É muito bom publicar na OLX,4,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,da90356b-d931-46f1-98d9-cfa55adf81a2,indefinido,indefinido,,Sim,2022-02-08
R_aaxQcHquialxtXH,2021-12-02T13:09:58.249Z,26,É muito bom publicar na OLX,4,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,c7ca0242-4ecc-4b91-b1df-7eba6ad8a85d,indefinido,indefinido,,Sim,2022-02-08
