responseid,recordeddate,duration,q1_opcao,q1_nota,q2,plataforma,pesquisa,referer,di_device_type,pubaccid,list_id,category_id,intercept_user_logged_into_olxpro,dt
R_3MGcNaiICrLmdLb,2022-01-28T18:01:33.715Z,23,"É boa, consigo gerenciar meus anúncios",3,,Web,OLX_SellerPro_Gestao,,desktop,f5bdb0ee-213b-4d83-bc92-3610454acd01,indefinido,indefinido,Sim,2022-02-11
R_1F4XQFoIEUWmipm,2022-01-28T18:15:00.093Z,31,É muito bom gerenciar meus anúncios na OLX,4,,Web,OLX_SellerPro_Gestao,,desktop,573f034b-d1f5-4edf-bb50-987188e62c17,indefinido,indefinido,Sim,2022-02-11
R_WebUkCtRke8SuCR,2022-01-28T18:49:11.713Z,10,É muito bom gerenciar meus anúncios na OLX,4,,Web,OLX_SellerPro_Gestao,,desktop,,indefinido,indefinido,Sim,2022-02-11
R_3DkEnEi1zKSZvOv,2022-01-28T19:35:48.667Z,32,"É boa, consigo gerenciar meus anúncios",3,,Web,OLX_SellerPro_Gestao,,desktop,37bb75d8-c877-4454-9e22-5cda502c8cb6,indefinido,indefinido,Sim,2022-02-11
R_3GxqzcPVyfvqiFE,2022-01-28T19:45:15.271Z,20,"É boa, consigo gerenciar meus anúncios",3,,Web,OLX_SellerPro_Gestao,,desktop,d16f34db-c4d0-4f84-a260-5986428077c7,indefinido,indefinido,Sim,2022-02-11
R_2qg9VFKDvo8YS6f,2022-01-31T17:27:04.703Z,32,É muito bom gerenciar meus anúncios na OLX,4,,Web,OLX_SellerPro_Gestao,,mobile,81d34d1c-778a-4be3-bcf2-c7f38323bcd7,indefinido,indefinido,Sim,2022-02-11
R_BQV9pUhcjWz17Md,2022-01-31T18:24:27.832Z,98,"É ruim, tenho dificuldade",2,Melhorar a plataforma para facilitar o acesso,Web,OLX_SellerPro_Gestao,,mobile,2c366a50-4c99-44fc-9235-4e6852e8c219,indefinido,indefinido,Sim,2022-02-11
R_1Cy9ptoTHpgiORK,2022-01-31T19:35:47.542Z,48,É muito bom gerenciar meus anúncios na OLX,4,EXCELENTE RETORNO DE VENDAS ,Web,OLX_SellerPro_Gestao,,desktop,3035b9ea-5604-475b-b6de-a19ee88a65f4,indefinido,indefinido,Sim,2022-02-11
R_29fUF6abmot5oIw,2022-01-31T19:49:29.808Z,29,"É boa, consigo gerenciar meus anúncios",3,,Web,OLX_SellerPro_Gestao,,desktop,474605ea-283e-4c65-a1ac-598f7cfb7c1b,indefinido,indefinido,Sim,2022-02-11
R_3KwhCpo5HYpt9eh,2022-01-31T22:41:03.556Z,85,"É boa, consigo gerenciar meus anúncios",3,gostaria mais contato via telefone para mais esclarecimentos,Web,OLX_SellerPro_Gestao,,desktop,9d53cb9b-daa0-4ffe-a689-348903e7b87c,indefinido,indefinido,Sim,2022-02-11
R_DRVWJZVqG7VlhDP,2022-01-31T23:05:08.102Z,29,"É boa, consigo gerenciar meus anúncios",3,,Web,OLX_SellerPro_Gestao,,desktop,2d39dc22-b933-4626-b426-d4db446d1d3d,indefinido,indefinido,Sim,2022-02-11
R_3O2L3xcHhn8Tymy,2022-01-28T18:49:26.923Z,99,"É ruim, tenho dificuldade",2,"Não está carregando os resumos corretamente, muitas vezes dá erro quando clicamos em ""por data"". Quando saímos de um usuário para outro, dá senha inválida e por último a plataforma não está mostrando a quantidade de visitas quando logado pelo desktop. ",Web,OLX_SellerPro_Gestao,,desktop,4abf7866-e1b2-4b84-9d55-95a5f8b4f578,indefinido,indefinido,Sim,2022-02-11
R_Z8zQo67rTFAGc4V,2022-01-28T18:54:39.653Z,17,"É boa, consigo gerenciar meus anúncios",3,,Web,OLX_SellerPro_Gestao,,desktop,ac087f7a-3ef9-4f45-abc7-7fd30c0e2ac9,indefinido,indefinido,Sim,2022-02-11
R_1dMIWCCVY0sH08x,2022-01-28T19:25:50.465Z,15,É muito bom gerenciar meus anúncios na OLX,4,,Web,OLX_SellerPro_Gestao,,desktop,bff59823-60d4-47d2-a3bb-c6e11f197c41,indefinido,indefinido,Sim,2022-02-11
R_29sRSEwajYG7naC,2022-01-28T19:29:00.683Z,44,"É ruim, tenho dificuldade",2,Está caindo cada dia as visibilidades na plataforma ,Web,OLX_SellerPro_Gestao,,desktop,535d49f4-5729-4bd9-9337-f12ad2e701f3,indefinido,indefinido,Sim,2022-02-11
R_2CZXJc6UmSy3hE3,2022-02-01T01:14:40.414Z,23,"É boa, consigo gerenciar meus anúncios",3,,Web,OLX_SellerPro_Gestao,,mobile,d58d9880-cb94-43aa-a789-58937762c053,indefinido,indefinido,Sim,2022-02-11
R_2wzyao42Jf8Wfdj,2022-02-01T01:36:41.407Z,46,"É boa, consigo gerenciar meus anúncios",3,hj nao,Web,OLX_SellerPro_Gestao,,desktop,ec289e26-c1b0-4460-b1dd-e59218f48970,indefinido,indefinido,Sim,2022-02-11
R_28UKwVZ1uAdeNiq,2022-02-01T15:53:41.752Z,17,"É boa, consigo gerenciar meus anúncios",3,,Web,OLX_SellerPro_Gestao,,mobile,681a0ae1-567b-47be-a83b-79ca6cb8d48a,indefinido,indefinido,Sim,2022-02-11
R_1reN98yTp6pREeC,2022-02-01T16:14:20.265Z,16,"É boa, consigo gerenciar meus anúncios",3,,Web,OLX_SellerPro_Gestao,,mobile,f0f503ba-d35d-43ae-a2fc-00dfe903d529,indefinido,indefinido,Sim,2022-02-11
R_7X5szOZepCahAu5,2022-02-01T17:13:51.608Z,14,É muito bom gerenciar meus anúncios na OLX,4,,Web,OLX_SellerPro_Gestao,,desktop,d214d80f-9bc0-4c6b-9356-58c7855de9dd,indefinido,indefinido,Sim,2022-02-11
